target,a,b,c,d
gomaya,goviR,sawyAnqwa,qjIRa,sUwa
lAfgalaxaNda,ISA,mArjiwA,mUlya,pippalImUla
harinmaNi,aSmagarBa,pAyya,hasanI,masqNa
vaNtaka,aMSa,makuRTaka,xarvi,kadafgara
akRIva,sAmuxra,upaskara,gokula,XAnA
mahAnasa,rasavawI,piRtapacana,bida,kavala
mAsara,AcAma,hala,ganXarasa,sarvaXurAvaha
wqpwi,warpaNa,xamya,upaskara,lAfgalaxaNda
SimbA,SamI,rasAlA,maXUcCiRta,maNika
kqRi,pASupAlya,akRa,winwidIka,koxrava
svarjikAkRAra,suKavarcaka,siMhANa,mafgalyaka,kRava
mOkwika,mukwA,hAyana,wElIna,praRTOhI
Sakqwkari,vawsa,swambakari,mayuRTaka,nIvI
hAlika,sErika,xvihalya,ekaXurAvaha,BissA
xroNa,KArI,wEjasa,vawsa,vrIhi
priyafgu,kafgu,XAnya,pqWvI,Sqfgabera
hasanwI,hasanI,govinxa,navasUwikA,ulUKala
swambakari,vrIhi,sEnXava,vqxXijIvikA,laviwra
karparI,wuwWa,AhAra,Cagalaka,pippalImUla
kAlA,kAravI,kumBa,aNavIna,akRa
goXana,gokula,kIlaka,aByURa,arWa
aByaFjana,wEla,Saswra,vipaNa,mAsara
paSurajju,xAmanI,mARINa,hAtaka,BissA
XAnyAka,kuswumbaru,praNIwa,kRumA,gokula
UrNAyu,rallaka,kqsara,kqRi,AhAra
bola,ganXarasa,kqRi,siMhANa,ISA
KalexAru,meXi,mArjiwA,gomaya,kumBa
Alu,galanwikA,Palawrika,sIwya,xvihalya
paNiwavya,paNya,BrARtra,XurINa,picCila
karRa,akRa,vrIhi,vqxXokRa,laviwra
hifgu,balhIka,qxXa,pqWuka,parIvarwa
suvarNa,viswa,nAla,nasyowa,sarpis
lAfgalapaxXawi,sIwA,praRTOhI,kaNiSa,SAkaSAkina
niRTAna,wemana,puRparasa,sinxUra,kAca
XurINa,XOreya,aNavya,vANija,wuRa
koxrava,koraxURa,yAmuna,yowra,ekaXurAvaha
AsurI,kqRNikA,sasyamaFjarI,aNavya,sinxUra
vasna,avakraya,vanamuxga,vaNigBAva,nAla
xaXisakwu,karamBa,vapra,rawna,xagXikA
Xenu,navasUwikA,mahAnasa,rasa,vikrayika
vAsiwa,BAviwa,CAga,masqNa,aByaFjana
qNa,uxXAra,vipaNa,vanXyA,siMhANa
vaNij,ApaNika,wrikatu,kamalowwara,vaMSarocanA
mayuRTaka,makuRTaka,sawyAkqwi,kulmARa,Svewamarica
nIvAra,wqNaXAnya,laviwra,kAma,wriguNAkqwa
vrIhi,ASu,kqsara,bahusUwi,Pena
prawibimba,CAyA,lepaka,mAyAkAra,wunnavAya
maNdahAraka,SONdika,hAla,SuNdA,kumBakAra
jIvAnwaka,SAkunika,nArAcI,caNdAlavallakI,mqgabanXanI
vAyaxaNda,veman,vatI,alarka,wUlikA
carmapraBeXikA,ArA,pariskanxa,vqRala,xevala
kalAxa,nAdinXama,xyUwa,CAyA,wUlikA
kOtika,vEwaMsika,SOlbika,nArAcI,GatIyanwra
upamAna,upamA,lohakAraka,lagnaka,pANivAxa
AkarRa,xevana,halipriyA,vyokAra,vA
Sunaka,mqgaxaMSaka,saramA,jaGanyaja,kAca
anuwarRaNa,saraka,mqgavya,mArxafgika,SONdika
jAlika,vAgurika,upAnah,eRaNikA,ApAna
kiNva,nagnahU,varXrI,pAnapAwra,Bqwi
vEvaXika,vArwAvaha,Sikya,vAgurika,krakaca
kqpANI,karwarI,sAXAraNa,pAna,vAgurA
kulaSreRTin,kulaka,vEvaXika,vihafgikA,pawraparaSu
pANivAxa,pANiGa,vENika,mAlika,carmapraBeXikA
kRullaka,jAlma,svarNakAra,cewara,ajAjIva
vAgurA,mqgabanXanI,pASaka,wunnavAya,mAlika
mURA,wEjasAvarwanI,kulaSreRTin,jAbAla,lepaka
kulAla,kumBakAra,veXanikA,kulaSreRTin,upamAna
manxa,Alasya,aBihAra,wunnavAya,vraScana
maXukrama,maXuvAra,kRurin,vEvaXika,rafgAjIva
palagaNda,lepaka,nagnahU,vEwaMsika,vyUwi
rafgAjIva,ciwrakara,wUlikA,pAnagoRTikA,avaravarNa
vraScana,pawraparaSu,mAyA,kqSASvin,ArA
BArika,BAravAha,mAlAkAra,wEjasAvarwanI,xyUwakqw
prANivqwwa,samAhvaya,mURA,swena,mAyA
AkarRa,aRtApaxa,pariskanxa,lubXaka,wunnavAya
SOlbika,wAmrakuttaka,prawibimba,pAtaccara,rukmakAraka
Asava,mEreya,sUwa,pAnagoRTikA,vEvaXika
kAmbavika,SAfKika,kulAla,pARANaxAraNa,kaNdolavINA
lohakAraka,vyokAra,vqkRAxanI,rajaka,BqwiBuj
AsPotanI,veXanikA,mexaka,upAnah,rajju
sOcika,wunnavAya,prawicCAyA,prawiroXin,samAhvaya
sanXAna,aBiRava,parajAwa,pitaka,caNdAlavallakI
vatI,guNa,prawiroXin,pAFcAlikA,mqgabanXanI
prERya,BujiRya,xakRa,wEjasAvarwanI,vAgurika
pAxakqw,carmakAra,varXrI,ayaHprawimA,saxqSa
mAyA,SAmbarI,kAca,Sunaka,carmakAra
kUtayanwra,unmAWa,BAravAha,jagala,anwAvasAyin
nikaRa,SANa,grAmawakRa,xuroxara,carmakAra
maFjURA,petaka,alasa,carmaprasevikA,aBiRava
sUrmI,sWUNA,kulaka,vraScana,prawihAraka
mOrajika,mArxafgika,SElAlin,grAmAXIna,vqkRAxanI
kaNdolavINA,cANdAlikA,mqgavya,ciwrakara,mqgayu
maXvAsava,mArxvIka,kAca,sUwWAna,ArA
kalA,Silpa,grAmawakRa,SElAlin,sanXAna
BaswrA,carmaprasevikA,pAna,raWakAra,kulAla
irA,kAxambarI,cOrikA,grAmaNI,maXu
mqgavaXAjIva,mqgayu,nikaRa,rafgAjIva,Sulba
GatIyanwra,uxGAtana,mAyA,mAMsika,prERya
kAru,Silpin,prawiBU,caRaka,xivAkIrwi
paNa,kEwava,nagnahU,vihafgikA,akRaxevin
pAnapAwra,caRaka,rajaka,petaka,pAxukA
cOrya,sweya,kumBakAra,wakRaka,naXrI
vENavika,veNuXma,Sikya,wAmrakuttaka,vyokAra
yogiwa,alarka,ekAgArika,sanXAna,wanwu
patu,sUwWAna,Sunaka,vAgurika,sUrmI
grAmaNI,kRurin,sAXAraNa,vEvaXika,AsPotanI
lagnaka,prawiBU,SONdika,vANi,prawihAraka
kuvinxa,wanwuvAya,pAxukA,uxGAtana,akRa
krakaca,karapawra,maXu,xakRa,sama
cAraNa,kuSIlava,vANi,jAlika,kiNva
kAca,Sikya,BqwiBuj,puwrikA,mqgayA
pARANaxAraNa,tafka,wAmrakuttaka,varXrI,pawraparaSu
varXrI,naXrI,SvAna,upamA,aRtApaxa
vqRala,jaGanyaja,waskara,prANivqwwa,uxGAtana
eRaNikA,nArAcI,uxGAtana,saraka,jIvAnwaka
raWakAra,wakRaka,mAXavaka,kAca,GatIyanwra
mqgavya,AcCoxana,rukmakAraka,maxasWAna,vqkRaBexin
mAwafga,pukkasa,mAlika,SElAlin,karmakara
vqkRaBexin,vqkRAxanI,saBika,kOtika,vatI
xyUwakqw,kiwava,pAnapAwra,nirNejaka,rukmakAraka
mAlika,mAlAkAra,mAlAkAra,parAciwa,mqgayA
vENika,vINAvAxa,unmAWa,Barman,palagaNda
xyUwakAraka,saBika,kaRa,vraScana,pAxakqw
jAbAla,ajAjIva,mAyAkAra,xevala,carmakAra
puwrikA,pAFcAlikA,karwarI,cOrya,kOtika
jagala,mexaka,BArika,unmAWa,saxqkRa
pAxU,upAnah,wunnavAya,SunI,varuNAwmajA
karmakara,Bqwaka,maXu,vqkRaBexin,yogiwa
xuroxara,paNa,samAhvaya,akRaxevin,vINAvAxa
parAciwa,pariskanxa,moRaka,nata,prawiyAwanA
moRaka,malimluca,rukmakAraka,vAyaxaNda,akRaxevin
asiXAvaka,SaswramArja,kAca,ajAjIva,rajaka
surAmaNda,kArowwara,SAkunika,mOrajika,yogiwa
grAmAXIna,grAmawakRa,kifkara,BaswrA,aBiRava
wanwu,sUwra,karapawra,lohakAraka,varAtaka
eRikA,wUlikA,wakRan,maXu,varAtaka
SuNdA,maxasWAna,kAmbavika,vA,wanwu
saxqSa,sama,kqpANI,mAyA,BaswrA
nirNejaka,rajaka,akRaxevin,jagala,svEra
SElAlin,Barawa,samAhvaya,pARANaxAraNa,kumBakAra
vihafgikA,BArayaRti,maXvAsava,vINAvAxa,krakaca
prawihAraka,mAyAkAra,pAFcAlikA,nikaRa,vraScana
xevAjIva,xevala,carmaprasevikA,Sulba,mqgavya
Bqwi,nirveSa,saxqSa,naXrI,kArowwara
vyUwi,vANi,avaravarNa,vyUwi,BArika
pAnagoRTikA,ApAna,mUlya,mArxafgika,xevala
saramA,SunI,mURA,maXuvAra,pAFcAlikA
gupwa,gUDa,mahoxyama,saMsakwa,aByAgArika
Ciwa,xiwa,apaxAnwa,pUrNa,praNihiwa
iRtArWoxyukwa,uwsuka,jFapwa,prINana,Sayiwa
kArma,karmaSIla,vimalArWaka,kamiwq,svaniwa
aXikarXi,samqxXa,GUrNiwa,avilambiwa,AKyAwa
virala,walina,xakRiNeya,apasavya,avaXvaswa
mUlakarman,kArmaNa,hrIwa,aXqRta,ulbaNa
saMSayApannamAnasa,sAMSayika,waRta,ahafkAravaw,pravINa
vacanesWiwa,ASrava,kukRimBari,aBiBUwa,SORkala
vismayAnviwa,vilakRa,saMsakwa,KyAwagarhaNa,avacUrNiwa
kRipnu,nirAkariRNu,parapiNdAxa,arhiwa,AmiRASin
maNdana,alafkariRNu,xakRiNeya,mahowsAha,mUwriwa
namasyiwa,apaciwa,vixruwa,niBqwa,saMvIwa
niRkAsiwa,avakqRta,SAswravix,xagXa,vaSakriyA
alafkarman,karmakRama,Sayiwa,uparakwa,anwarvANi
SuBAnviwa,SuBaMyu,aXqRta,GUrNiwa,kRNuwa
pqWula,bqhaw,vipralabXa,jAgarUka,unmAxa
vanxAru,aBivAxaka,samuxXawa,safkata,lajjASIla
ASaMsiwq,ASaMsu,pUrva,eXiwa,xoREkaxqS
aBilARuka,lubXa,wanUkqwa,aXqRta,pelava
bahupraxa,xAnaSONda,varwiRNu,gaNeya,xqS
pluRta,uRiwa,awyanwakopana,abAXa,mqxu
ariRtaxuRtaXI,vivaSa,xruwa,hawa,pakva
capala,cikura,samarXaka,nuwwa,SAswravix
jafgama,carAcara,vyAkula,nexiRTa,safkasuka
unnawAnawa,banXura,xurmanas,parapiNdAxa,varXana
uxyawa,uxgUrNa,hawa,ASaMsiwq,safKyAwa
viwwa,KyAwa,karmakara,xveRya,waRta
Asakwa,wawpara,visArin,awirikwa,puroBAgin
jalpAka,bahugarhyavAc,mqRta,siwa,xqbXa
mqxula,mqxu,vivaSa,guNTiwa,pUrNa
kucara,kuvAxa,kRAriwa,pUwa,kopin
pqWagviXa,nAnArUpa,prawibaxXa,yAcaka,saMhawa
vimalArWaka,vIXra,Sikyiwa,krUra,lava
gupwa,wrAwa,vAgmin,hqRtamAnasa,vinxu
wqpwa,pramuxiwa,pracalAyiwa,klinna,mahecCa
niRpanna,nirvqwwa,kRipnu,mqxula,prArWiwa
suxUra,xaviRTa,wyakwa,siwa,gaNeya
SAlIna,aXqRta,ukwa,nixrANa,wURNIMSIla
ahaMyu,ahafkAravaw,Axya,labXa,anwika
kuSala,pravINa,apaXvaswa,samuxXawa,vaFcaka
asvara,asOmyasvara,kRipnu,snigXa,viXuvana
nUwna,nava,PANta,mURiwa,sanwapwa
vaFciwa,vipralabXa,niRkAsiwa,Xvaswa,vaxa
Canna,CAxiwa,avakqRta,syanna,Gasmara
prApwa,BAviwa,prasArin,vikasvara,xqDasanXi
syUwa,Uwa,wraswa,anwarmanas,muNdiwa
avajFAwa,avamawa,leSa,kucara,samuxakwa
iBya,ADya,nikqwa,puNya,mIDa
Kala,xurjana,ravaNa,Palgu,vqjina
sarvAnnaBojin,sarvAnnIna,gUna,upaciwa,kRuXiwa
samuxakwa,uxXqwa,pruRta,aXikarXi,GUrNiwa
Akampiwa,AXUwa,ajihma,bahuviXa,jafgama
waRta,wanUkqwa,wrasa,unmAxa,vArwa
AhawalakRaNa,kqwalakRaNa,prArWiwa,maFju,rINa
avagIwa,KyAwagarhaNa,viprakqwa,vyaswa,sarvAnnIna
praSriwa,vinIwa,jAgarUka,ulbaNa,samqxXa
vawsala,snigXa,saMyojiwa,syanna,virala
kaxvaxa,garhyavAxin,mahASaya,upaciwa,lohala
guNiwa,Ahawa,ekasarga,calAcala,alpIyas
kliRta,kliSiwa,asvacCanxa,suxUra,kroXana
PANta,anAyAsakqwa,arciwa,prasqwa,avasiwa
Xikkqwa,apaXvaswa,praguNa,Karva,vinayagrAhin
anwarvANi,SAswravix,saMvIwa,vinASonmuKa,Sakla
Enxriyaka,prawyakRa,varwiRNu,awirikwa,parivApiwa
xAnwa,xamiwa,apasnAwa,paravaw,vikurvANa
viklava,vihvala,vixXa,avamawa,iwara
pragalBa,prawiBAnviwa,niswala,vyaswa,mUlakarman
kIliwa,baxXa,karmaSUra,asPutavAc,prawipanna
piwqsanniBa,manojavasa,samunna,wraswa,hanna
lajjASIla,apawrapiRNu,nikqwa,mArgaNa,vAma
hqRtamAnasa,pramanas,mUlakarman,varwana,Samiwa
prApya,samAsAxya,vismqwa,parAcIna,ajihma
cala,lola,uwka,hqxayAlu,SikRiwa
jEvAwqka,AyuRmaw,mahASaya,kqwwa,alpIyas
avilambiwa,uccaNda,vivaSa,varwana,uxvAnwa
eka,ekAkin,prawiBAnviwa,aXqRta,kuvAxa
vArwa,Palgu,AhawalakRaNa,kRipnu,vaxAvaxa
uwpawiwq,uwpawiRNu,iwara,ADya,uparakwa
akqRNakarman,SiSvixAna,bahugarhyavAc,pawi,arWin
loluBa,lolupa,vyagra,anupaxa,anwikawama
puRta,puRiwa,mIDa,vihvala,viSva
vixruwa,xruwa,AkIrNa,parIkRaka,nirNikwa
pracalAyiwa,GUrNiwa,unnawAnawa,Xvaswa,avasiwa
galiwa,Xvaswa,uparakwa,bahupraxa,viXuwa
KakKata,xqDa,Akampiwa,SuBAnviwa,unmaxiRNu
vicAriwa,vinna,visqmara,muKya,xurgawa
sWAvara,jafgamewara,AyuRmaw,mahoxyama,jafgamewara
warpaNa,prINana,ariRtaxuRtaXI,paravaw,garhyavAxin
sarala,uxAra,valayiwa,vinxu,mUwriwa
pakva,pariNawa,svErin,parikRipwa,BaraNyaBuj
upagawa,vixiwa,cara,XUwa,prawIka
Awwagarva,aBiBUwa,kAnxiSIka,aBijFa,varwana
mUka,avAk,rucya,cariRNu,prApwa
ravaNa,Sabxana,vicAriwa,kutumbavyApqwa,prawIkRya
nEkaBexa,uccAvaca,manojavasa,kqpAlu,kaSya
aXikRipwa,prawikRipwa,wva,muKara,xAwa
AvixXa,niRTyUwa,labXa,vinxu,hqRtamAnasa
nikqwa,viprakqwa,asamIkRyakArin,viwwa,swuwa
xigXa,lipwa,vinASonmuKa,GrAwa,granWiwa
anviRta,anveRiwa,KalapU,uxAra,samaXika
paravaw,parawanwra,galiwa,lohala,nikqwa
visArin,prasArin,purANa,eXiwa,nUwna
hanna,gUna,vacanesWiwa,garXana,xaviRTa
niRTA,jaGanya,niRpakva,avana,karmakRama
viswqwa,wawa,Palgu,ucca,asOmyasvara
svaniwa,Xvaniwa,varwana,ahaMyu,asOmyasvara
uxBix,uxBijja,sanxiwa,varXiRNu,mahowsAha
veXiwa,Cixriwa,Sakla,AwmamBari,kaxvaxa
jAgariwq,jAgarUka,vinayagrAhin,sWirawara,AhawalakRaNa
vAgmin,awivakwq,safkaliwa,sWirawara,pakva
vinxu,vixura,priyaMvaxa,mqxu,syUwa
apasnAwa,mqwasnAwa,garhya,kRAriwa,Cixriwa
nagna,avAsas,rURiwa,pracura,prApya
hIna,wyakwa,akRigawa,granWiwa,panna
AkIrNa,safkIrNa,nirargala,xqS,AxyUna
sWAsnu,sWeyas,anvakRa,wvaRta,vaxAnya
aFciwa,upacariwa,niRkAsiwa,vEjFAnika,lava
avyavahiwa,apaxAnwa,anwikawama,malaxURiwa,nija
Xikkqwa,avarINa,lipwa,alpiRTa,vakwq
niwya,sanAwana,SORkala,prArWiwa,xakRiNa
prawikUla,prasavya,waRta,abAXa,anuka
XqRta,XqRNaj,krUra,nixrANa,vikAsin
kRamin,sahana,garhya,karmaSIla,upahvara
vaxAvaxa,vaxa,samuxakwa,BakRaka,kliRta
BUri,pracura,asWira,viXuvana,muKara
vimanas,xurmanas,gamya,pawi,vigawa
SrIla,SrImaw,vAcoyukwipatu,sAmAnya,nAnxIkara
upAXi,kutumbavyApqwa,ASaMsiwq,AyuRmaw,unnawa
SIrRaCexya,vaXya,upAXi,pakva,uccAvaca
muNdiwa,parivApiwa,manojavasa,xIrGa,xAnwa
sAmAnya,sAXAraNa,prawyAxiRta,prawikRipwa,xurgawa
awInxriya,aprawyakRa,lohala,vaSya,karmaSUra
safkasuka,asWira,kAciwa,axmara,nexiRTa
kroXana,kopin,GrAwa,awirikwa,wimiwa
muKara,abaxXamuKa,cikura,jAgarUka,sanA
aBiSaswa,kRAriwa,viwwa,niSiwa,vyagra
saMhawa,xqDasanXi,ekAyanagawa,spaRta,niswala
vyasanArwa,uparakwa,vivaSa,pAwuka,kopin
vigawa,niRpraBa,xqS,mahecCa,avacUrNiwa
wURNIka,wURNIMSIla,jAlma,garhyavAxin,hqxya
aprAgrya,upasarjana,awirikwa,capala,sanxiwa
akRigawa,xveRya,gaNiwa,nEkaBexa,rAma
mIDa,mUwriwa,kqwsna,nyaswa,vinna
aBika,kamiwq,jAgariwq,kAwara,lolupa
aBIRta,hqxya,qju,kAmana,malaxURiwa
upAhiwa,saMyojiwa,uxXqwa,svawanwra,avAFc
aNIya,alpIyas,asamIkRyakArin,avaXvaswa,vAcoyukwipatu
snuwa,sruwa,snigXa,lajjiwa,muKara
parIkRaka,kAraNika,aXomuKa,vilakRa,vaxa
karmaTa,karmaSUra,kaSya,panAyiwa,vivaSa
parAnna,parapiNdAxa,ravaNa,aBiBUwa,hrasva
anwargawa,vismqwa,nIca,avilambiwa,svaniwa
xoREkaxqS,puroBAgin,xIrGa,avaXvaswa,vinASonmuKa
aXIra,kAwara,apasavya,lohala,kuwsiwa
buBukRiwa,aSanAyiwa,CAxiwa,swuwa,sanxiwa
aNdaja,xvija,xqDasanXi,lolupa,safkasuka
niRpakva,kvaWiwa,gUna,uxBijja,nikqwa
pUjya,prawIkRya,parapiNdAxa,kuvAxa,kaSya
wejiwa,kRNuwa,SIrRaCexya,ariRtaxuRtaXI,unmanas
suRama,manojFa,AmiRASin,avilambiwa,kaccara
kaccara,malina,asPutavAc,avAgra,Oxarika
puNyavaw,Xanya,samuxakwa,pariBUwa,gaNiwa
safKyAwa,gaNiwa,niHsva,wyakwa,svapnaj
Baviwq,BURNu,samunna,rURiwa,SORkala
praNeya,vaSya,sixXa,bahuviXa,BraRta
uwka,unmanas,prawIkRya,unmAxa,vihaswa
purANa,purAwana,prasArin,aBiSaswa,xIrGa
AxyUna,Oxarika,pUwa,velliwa,niranwara
gaNanIya,gaNeya,parapiNdAxa,vyaswa,pragalBa
aBihiwa,jalpiwa,nAWavaw,avAsas,jiGawsu
kRuxra,kqpaNa,kaSya,aprAgrya,niraswa
prODa,pravqxXa,SUnya,lohala,praSriwa
anvakRa,anupaxa,apawrapiRNu,vimalArWaka,sAmAnya
Binna,xAriwa,uccaNda,prApwa,anAyAsakqwa
hqxayAlu,suhqxaya,avaXvaswa,saxAwana,mahoxyama
niranwara,sAnxra,kukRimBari,hrINa,upakaNTa
samuxXawa,avinIwa,vyaswa,warpaNa,Ahawa
pUriwa,pUrNa,cyuwa,SayAlu,karmakara
safgUDa,safkaliwa,nixrAlu,BraRta,Asakwa
asPutavAc,lohala,xayAlu,muRiwa,anwarvANi
klinna,swimiwa,baxXa,aSanAyiwa,bahuviXa
xApiwa,sAXiwa,XUrwa,ajFa,gaNanIya
hiMsra,GAwuka,piwqsanniBa,jiGawsu,safkaliwa
spaRta,pravyakwa,Awwagarva,vinIwa,saMSayApannamAnasa
qju,praguNa,lolupa,sakala,hawa
Ayawa,xIrGa,mahASaya,samAhiwa,muRiwa
prawyAxiRta,nirAkqwa,sWUla,upAhiwa,navya
mUla,pOraswya,lajjiwa,Bayaxruwa,kaccara
kRuxra,krUra,uxgawa,vyagra,xarixra
kAnxiSIka,Bayaxruwa,aXiBU,Cixriwa,kuvAxa
Akula,apraguNa,Binna,safgUDa,buXiwa
vyAvqwwa,vqwwa,anuga,garhyavAxin,varXiRNu
abAXa,nirargala,nEkaBexa,xqbXa,sAXAraNa
pawayAlu,pAwuka,samaXika,vilakRa,xigambara
svacCanxa,niravagraha,aSanAyiwa,caliwa,prawIkRya
mahoxyama,mahowsAha,ASrava,nirargala,parapiNdAxa
granWiwa,xqbXa,xurjana,kalila,kuvAxa
wufga,ucca,Xanya,nIca,capala
samaXika,awirikwa,lapiwa,uwa,kRamiwq
kRIba,mawwa,prawyAKyAwa,vaSya,anyawara
vinASonmuKa,pakva,kRAnwa,xaviRTa,malImasa
mahecCa,mahASaya,niranwara,AwmamBari,suhqxaya
sambAXa,safkata,ariRtaxuRtaXI,buBukRiwa,vicAriwa
ruxXa,valayiwa,vixura,hrINa,niRkAsiwa
Asanna,sanIda,pUjya,XUrwa,jafgamewara
marmaspqS,arunwuxa,vimanas,SUnya,SAlIna
AwmamBari,kukRimBari,nEkaBexa,lipwa,Asakwa
sUcaka,karNejapa,prArWiwa,varXana,pravqxXa
gIrNa,Saswa,Karva,pelava,anwikawama
ArAw,para,niswala,prODa,gqXnu
GrANa,GrAwa,svErin,eka,vAmana
kaRta,gahana,samqxXa,parAnna,kuSala
puRkala,awiSoBana,safkIrNa,Sakla,xigXa
yAcanaka,arWin,iRtArWoxyukwa,nyaswa,avajFAwa
vaSakriyA,saMvanana,prawyakRa,kliSiwa,prArWiwa
aByavahqwa,jagXa,PANta,komala,jada
Gasmara,axmara,samqxXa,puRta,prINana
moGa,nirarWaka,gUDa,nisqRta,anavarArXya
ajFa,jada,Enxriyaka,awyanwakopana,Xanya
sUrawa,kAruNika,nUwana,vilakRa,aByAgArika
rURiwa,guNTiwa,pUjya,samqxXa,gqhayAlu
ekAgrya,ananyavqwwi,mUlakarman,viwwa,gaNiwa
avAFc,Anawa,SrImaw,samuxXawa,vixiwa
xaBra,alpa,Xikkqwa,arciwa,sAnxrasnigXa
viXuvana,viXUnana,kaTina,kAciwa,unnawAnawa
nikqwa,anqju,loluBa,prasqwa,qju
anavarArXya,prAgrya,pakva,xApiwa,aXikarXi
Sakla,priyaMvaxa,avamAniwa,bahupraxa,nirargala
Bugna,vqjina,pariNawa,sWAvara,loluBa
vAmana,hrasva,anupaxa,kaSyArha,sWAvara
jAlma,asamIkRyakArin,wURNIka,ekAkin,prawibaxXa
cirakriya,xIrGasUwra,asvara,xamiwa,vyAla
SAnwa,Samiwa,syUwa,KyAwagarhaNa,kaSyArha
rikwaka,wucCa,bahukara,kRAnwa,nirvqwwa
samarXaka,varaxa,mawwa,GrANa,AwmamBari
vaFcaka,XUrwa,puroBAgin,aBinava,ISvara
nyaswa,nisqRta,safkasuka,vyAkula,varwiRNu
kaSyArha,kaSya,awirikwa,apaXvaswa,prasqwa
varXana,varXiRNu,snigXa,apasnAwa,lohala
xEvawa,xivyopapAxuka,unmanas,kopin,Akampiwa
praNihiwa,prApwa,sanwapwa,uccaNda,viXuvana
svapnaj,nixrAlu,vyasanArwa,kaxvaxa,manxa
vihaswa,vyAkula,AwmamBari,vaxAvaxa,grahIwq
varwana,varwiRNu,sukumAra,priyaMvaxa,viXUnana
xruwa,avaxIrNa,mawwa,Sabxana,uwpawiRNu
vqwwa,niswala,anwarvANi,aXIra,puRta
caNda,awyanwakopana,mArgiwa,vihvala,awyanwakopana
xakRiNeya,xakRiNya,arxiwa,qBava,uxBija
nivqwa,parikRipwa,samaXika,pUriwa,jAgarUka
siwa,avasiwa,mUwa,nyaswa,hiMsra
BIru,wraswa,vAgmin,nUwana,kAciwa
xqDa,pIvan,Sakla,svapnaj,nAnxIkara
anwikawama,nexiRTa,wURNIMSIla,alpIyas,unmAxa
praBu,aXipa,viwwa,parawanwra,klinna
iwara,anyawara,caNda,vAgISa,sanwApiwa
prasqwa,pravqxXa,prawyAKyAwa,prawIwa,gqXnu
vAgISa,vAkpawi,vAcAta,xvija,puRiwa
kAciwa,Sikyiwa,pUrva,pravqxXa,mIDa
sAnxrasnigXa,mexura,awyanwakopana,xigXa,saMSayApannamAnasa
uxgawa,uxvAnwa,xAnwa,axaBra,sWirawara
grahIwq,gqhayAlu,samuxakwa,lohala,xamiwa
samaswa,sama,anuka,sWUla,xakRiNa
jFapiwa,jFapwa,xagXa,sUrawa,wvaRta
vakwavya,aXIna,jalpAka,iBya,veXiwa
pqWagjana,manxa,varXiRNu,maNdana,SoXiwa
arxiwa,prArWiwa,pariBUwa,kArmaNa,vaxAvaxa
prawibaxXa,manohawa,AxyUna,avAsas,iRtArWoxyukwa
prawipanna,buXiwa,upaciwa,uwpawiwq,Cinna
SORkala,AmiRASin,caNda,cariRNu,kRNuwa
vivikwi,paviwra,hrIwa,mqgiwa,varwana
avacUrNiwa,avaXvaswa,wucCa,Sikyiwa,vimanas
unmAxa,unmaxiRNu,uwsqRta,apAvqwa,apraguNa
mqRta,anavaskara,nirargala,caliwa,vismqwa
vikAsin,vikasvara,pelava,ekAyanagawa,rucira
xurgawa,niHsva,walina,caNda,anwarvANi
parAcIna,parAfmuKa,xurjana,samarXaka,sakala
hrINa,hrIwa,samuxXawa,viklava,Canna
BaraNyaBuj,karmakara,nixigXa,xIna,SrIla
bahukara,KalapU,BIruka,karmaSUra,piwqsanniBa
muRiwa,mURiwa,parAfmuKa,karmaSIla,avagIwa
Sayiwa,nixrANa,saMSruwa,cariRNu,xveRya
nAnxIvAxin,nAnxIkara,kRamin,upAXi,prawIwa
kANda,garhya,pakva,vAcAla,BIru
upaciwa,nixigXa,aXikarXi,varwiRNu,marmaspqS
kRAnwa,soDa,AmiRASin,parAfmuKa,uccaNda
XUpiwa,sanwapwa,prawIka,SArvara,saMvIwa
Apanna,ApawprApwa,ajihma,nunna,uxAra
upaBoga,nirveSa,uparAma,GqNA,vilepana
SAnwi,Sama,kvaNa,pariNAma,sanXi
aByavakarRaNa,nihAra,OSIra,nigAxa,kANda
saMSrava,afgIkAra,melaka,viprakAra,viprayoga
anuhAra,anukAra,snava,mANavya,grAha
karmavqwwa,avaxAna,graha,lavana,pavana
gIrNi,giri,kriyA,pariwrANa,marxana
Amoxa,hanwa,mAnuRyaka,pramiwi,viparyaya
wvarA,samBrama,anwarAya,uwkarRa,aBigrahaNa
damara,dimba,upAwyaya,praviRtamBa,safkRepaNa
praviSleRa,viXura,mux,iRti,kranxana
Brama,Brami,samasana,samAhAra,giri
praSraya,praNaya,vqxXi,prAXAra,viprayoga
saMswava,paricaya,praSraya,uxBrama,samuccaya
avarawi,Arawi,jUrwi,pravAraNa,syaxa
jUwi,waras,lava,prawyUha,GqNA
praviRtamBa,prawibanXa,spraRtq,vimarxana,pava
nirveSa,anuBava,pATa,upaGna,vimarxana
saMyama,yAma,xurgasaFcara,jUrwi,nipaTa
xama,xamaWa,praSraya,viXura,aBiprAya
viRaya,ASraya,sPutana,praSraya,pacA
parigraha,xureRaNA,Scyowa,kranxana,pASa
aBihAra,aBigrahaNa,spqRti,vimarxana,saMSleRa
arwana,GqNA,sammUrcCana,uxBrama,uxxAna
apacaya,apahAra,aWa,samqxXi,jvara
swambaGana,swambaGna,sevana,avekRA,vinASa
jvara,jUrwi,AxInava,parIsAra,praNaya
